player_id,squad_id,team_id,season_id,jersey_number,position_id,has_values,name,common_name,firstname,lastname,display_name,height,weight,date_of_birth,gender,nationality_id,country_id,city_id,detailed_position_id,type_id,image_path
105,483841211,9,21646,33,24,True,Scott Carson,S. Carson,Scott,Carson,Scott Carson,188.0,85.0,1985-09-03,male,462,462,98462.0,24.0,24,https://cdn.sportmonks.com/images/soccer/players/9/105.png
37581761,828626410,9,21646,76,26,True,Mahamadou Susoho,M. Susoho,Mahamadou,Susoho,Mahamadou Susoho,,,,male,32,32,,149.0,25,https://cdn.sportmonks.com/images/soccer/placeholder.png
30467945,828278539,9,21646,92,26,True,Micah Hamilton,M. Hamilton,Micah,Hamilton,Micah Hamilton,,,2003-11-13,male,462,462,,152.0,26,https://cdn.sportmonks.com/images/soccer/players/9/30467945.png
34594,483841231,9,21646,18,24,True,Stefan Ortega Moreno,S. Ortega Moreno,Stefan,Ortega Moreno,Stefan Ortega,185.0,88.0,1992-11-06,male,11,11,14137.0,,24,https://cdn.sportmonks.com/images/soccer/players/2/34594.png
30446925,1270742070,9,21646,78,25,False,Issa Kabore,I. Kabore,Issa,Kabore,Issa Kabore,180.0,,2001-05-12,male,607,607,10254.0,154.0,25,https://cdn.sportmonks.com/images/soccer/players/13/30446925.png
336133,483841225,9,21646,47,26,True,Philip Foden,P. Foden,Philip,Foden,Phil Foden,171.0,70.0,2000-05-28,male,462,462,86553.0,,26,https://cdn.sportmonks.com/images/soccer/players/5/336133.png
73147,514118428,9,21646,8,26,True,Mateo Kovačić,M. Kovačić,Mateo,Kovačić,Mateo Kovacic ,177.0,78.0,1994-05-06,male,266,143,50754.0,,26,https://cdn.sportmonks.com/images/soccer/players/27/73147.png
23697990,611627845,9,21646,11,27,True,Jeremy Doku,J. Doku,Jeremy,Doku,Jérémy Doku,173.0,,2002-05-27,male,556,556,102451.0,,26,https://cdn.sportmonks.com/images/soccer/players/6/23697990.png
1371,483841215,9,21646,17,26,True,Kevin De Bruyne,K. De Bruyne,Kevin,De Bruyne,Kevin De Bruyne ,181.0,68.0,1991-06-28,male,556,556,,,26,https://cdn.sportmonks.com/images/soccer/players/27/1371.png
154421,483841230,9,21646,9,27,True,Erling Håland,E. Haaland,Erling Braut,Haaland,Erling Haaland,195.0,87.0,2000-07-21,male,1578,462,49373.0,,27,https://cdn.sportmonks.com/images/soccer/players/21/154421.png
96353,483841217,9,21646,20,26,True,Bernardo Mota Veiga de Carvalho e Silva,B. Silva,Bernardo,Mota Veiga de Carvalho e Silva,Bernardo Silva,173.0,64.0,1994-08-10,male,20,20,50833.0,150.0,26,https://cdn.sportmonks.com/images/soccer/players/1/96353.png
24838191,577000100,9,21646,24,25,True,Joško Gvardiol,J. Gvardiol,Joško,Gvardiol,Josko Gvardiol,185.0,,2002-01-23,male,266,266,101419.0,155.0,25,https://cdn.sportmonks.com/images/soccer/players/15/24838191.png
28912747,483841226,9,21646,80,26,True,Cole Palmer,C. Palmer,Cole,Palmer,Cole Palmer,185.0,,2002-05-06,male,462,462,53964.0,,25,https://cdn.sportmonks.com/images/soccer/players/11/28912747.png
186299,483841220,9,21646,14,25,True,Aymeric Laporte,A. Laporte,Aymeric,Laporte,Aymeric Laporte,191.0,86.0,1994-05-27,male,32,17,652.0,,25,https://cdn.sportmonks.com/images/soccer/players/27/186299.png
28575676,578522274,9,21646,87,26,True,James Mcatee,J. Mcatee,James,Mcatee,James McAtee,180.0,,2002-10-18,male,462,462,78328.0,,26,https://cdn.sportmonks.com/images/soccer/players/28/28575676.png
37545384,483841224,9,21646,32,26,True,Maximo Perrone,M. Perrone,Maximo,Perrone,Máximo Perrone,177.0,,2003-01-07,male,44,44,13037.0,149.0,26,https://cdn.sportmonks.com/images/soccer/players/8/37545384.png
3354,483841232,9,21646,4,26,True,Kalvin Phillips,K. Phillips,Kalvin,Phillips,K. Phillips,179.0,72.0,1995-12-02,male,462,462,,,26,https://cdn.sportmonks.com/images/soccer/players/26/3354.png
24838234,1270742074,9,21646,97,25,False,Josh Wilson-Esbrand,J. Wilson-Esbrand,Josh,Wilson-Esbrand,Josh Wilson-Esbrand,176.0,,2002-12-26,male,462,462,51663.0,,25,https://cdn.sportmonks.com/images/soccer/players/26/24838234.png
4536537,483841229,9,21646,21,26,True,Sergio Gómez Martín,S. Gómez,Sergio,Gómez Martín,Sergio Gómez,171.0,,2000-09-04,male,32,32,5464.0,,27,https://cdn.sportmonks.com/images/soccer/players/25/4536537.png
