Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
8/19/18,22:15,La Liga,Matchweek 1,Sun,Home,W,2,0,Getafe,1,0.2,77,48446,Sergio Ramos,4-3-3,4-1-4-1,Javier Estrada,Match Report,
8/26/18,22:15,La Liga,Matchweek 2,Sun,Away,W,4,1,Girona,3.9,0.4,66,13889,Sergio Ramos,4-2-3-1,4-3-3,Juan Martínez,Match Report,
9/1/18,20:45,La Liga,Matchweek 3,Sat,Home,W,4,1,Leganés,2.5,1.1,77,59255,Sergio Ramos,4-3-3,4-4-2,Santiago Jaime,Match Report,
9/15/18,20:45,La Liga,Matchweek 4,Sat,Away,D,1,1,Athletic Club,1.8,1.4,61,46413,Sergio Ramos,4-3-3,4-2-3-1,José González,Match Report,
9/19/18,21:00,Champions Lg,Group stage,Wed,Home,W,3,0,it Roma,3.5,0.6,61,69251,Sergio Ramos,4-3-3,4-3-3,Björn Kuipers,Match Report,
9/22/18,20:45,La Liga,Matchweek 5,Sat,Home,W,1,0,Espanyol,1,0.4,64,67658,Sergio Ramos,4-3-3,4-1-4-1,Antonio Matéu Lahoz,Match Report,
9/26/18,22:00,La Liga,Matchweek 6,Wed,Away,L,0,3,Sevilla,1.5,2.4,60,40972,Sergio Ramos,4-3-3,3-5-2,Alejandro Hernández,Match Report,
9/29/18,20:45,La Liga,Matchweek 7,Sat,Home,D,0,0,Atlético Madrid,1.2,0.8,65,78642,Sergio Ramos,4-3-3,4-4-2,Juan Martínez,Match Report,
10/2/18,22:00,Champions Lg,Group stage,Tue,Away,L,0,1,ru CSKA Moscow,2.2,0.4,72,71811,Karim Benzema,4-3-3,3-4-3,Ovidiu Hațegan,Match Report,
10/6/18,18:30,La Liga,Matchweek 8,Sat,Away,L,0,1,Alavés,0.8,1.1,69,19461,Sergio Ramos,4-3-3,4-3-3,Santiago Jaime,Match Report,
