Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
8/14/22,La Liga,Almeria,Karim Benzema,9,fr FRA,FW,34-238,90,0,1,0,0,7,3,0,0,0,68,0,0,0.7,0.7,0.3,7,0,48,56,85.7,6,47,3,2,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,48,56,85.7,538,92,37,42,88.1,10,10,100,0,0,,1,0.3,0.2,4,0,0,0,6,https://fbref.com/en/matches/c1e42359/Almeria-Real-Madrid-August-14-2022-La-Liga
8/14/22,La Liga,Almeria,Vinicius Júnior,20,br BRA,LW,22-033,82,0,0,0,0,4,2,0,0,0,58,1,0,0.3,0.3,0.4,8,1,34,44,77.3,5,49,10,3,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,34,44,77.3,339,70,23,26,88.5,5,7,71.4,0,1,0,0,0.4,0.5,4,2,4,0,5,https://fbref.com/en/matches/c1e42359/Almeria-Real-Madrid-August-14-2022-La-Liga
8/14/22,La Liga,Almeria,Dani Ceballos,19,es ESP,LM,26-007,8,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,11,12,91.7,1,11,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,11,12,91.7,144,39,7,7,100,3,4,75,0,0,,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/c1e42359/Almeria-Real-Madrid-August-14-2022-La-Liga
8/14/22,La Liga,Almeria,Federico Valverde,15,uy URU,"RW,RM",24-023,90,0,0,0,0,4,4,0,0,0,58,0,0,0.2,0.2,0.3,8,1,47,51,92.2,9,45,5,2,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,47,51,92.2,644,166,25,26,96.2,18,20,90,2,2,100,0,0.3,0.1,4,6,4,0,9,https://fbref.com/en/matches/c1e42359/Almeria-Real-Madrid-August-14-2022-La-Liga
8/14/22,La Liga,Almeria,Toni Kroos,8,de GER,"LM,CM",32-222,82,0,0,0,0,3,2,0,0,1,113,1,2,0.1,0.1,0.4,5,0,87,104,83.7,15,76,5,2,1,1,0,0,1,0,0,2,0,2,2,0,2,1,2,0,0,87,104,83.7,1683,507,37,38,97.4,35,39,89.7,14,25,56,0,0.4,0.4,3,21,2,2,15,https://fbref.com/en/matches/c1e42359/Almeria-Real-Madrid-August-14-2022-La-Liga
8/14/22,La Liga,Almeria,Casemiro,14,br BRA,CM,30-172,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,8,87.5,0,7,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,7,8,87.5,134,50,6,6,100,0,0,,1,2,50,0,0,0,0,1,0,0,0,https://fbref.com/en/matches/c1e42359/Almeria-Real-Madrid-August-14-2022-La-Liga
8/14/22,La Liga,Almeria,Aurélien Tchouaméni,18,fr FRA,CM,22-199,57,0,0,0,0,1,0,0,0,1,55,2,0,0.1,0.1,0,3,0,45,47,95.7,5,47,2,2,0,2,0,2,0,0,1,1,100,0,0,0,0,1,3,0,0,45,47,95.7,808,246,20,20,100,19,21,90.5,4,4,100,0,0,0,1,7,0,0,5,https://fbref.com/en/matches/c1e42359/Almeria-Real-Madrid-August-14-2022-La-Liga
8/14/22,La Liga,Almeria,Eden Hazard,7,be BEL,"RW,LW",31-219,33,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0.1,2,0,20,20,100,1,17,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,20,20,100,214,50,11,11,100,3,3,100,1,1,100,0,0.1,0.1,1,2,0,0,1,https://fbref.com/en/matches/c1e42359/Almeria-Real-Madrid-August-14-2022-La-Liga
8/14/22,La Liga,Almeria,Eduardo Camavinga,12,fr FRA,RM,19-277,45,0,0,0,0,2,0,1,0,0,29,2,0,0.1,0.1,0.1,5,0,20,21,95.2,4,24,2,1,1,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,20,21,95.2,278,57,11,12,91.7,5,5,100,2,2,100,0,0.1,0.1,1,2,0,0,4,https://fbref.com/en/matches/c1e42359/Almeria-Real-Madrid-August-14-2022-La-Liga
8/14/22,La Liga,Almeria,Luka Modrić,10,hr CRO,"RM,LM",36-339,45,0,0,0,0,2,0,0,0,1,62,0,1,0.1,0.1,0,2,1,50,55,90.9,5,53,3,1,0,0,0,0,0,0,0,2,0,2,1,0,1,1,1,0,0,50,55,90.9,692,176,33,34,97.1,12,13,92.3,3,4,75,0,0,0.1,0,9,1,0,5,https://fbref.com/en/matches/c1e42359/Almeria-Real-Madrid-August-14-2022-La-Liga
