Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
8/17/19,17:00,La Liga,Matchweek 1,Sat,Away,W,3,1,Celta Vigo,2.1,1.6,44,23566.0,Sergio Ramos,4-3-3,4-2-2-2,Javier Estrada,Match Report,
8/24/19,19:00,La Liga,Matchweek 2,Sat,Home,D,1,1,Valladolid,1.7,1.2,66,63037.0,Sergio Ramos,4-1-4-1,4-4-2,Pablo González,Match Report,
9/1/19,21:00,La Liga,Matchweek 3,Sun,Away,D,2,2,Villarreal,1.9,1.4,56,20128.0,Sergio Ramos,4-4-2,4-4-2,Jesús Gil,Match Report,
9/14/19,13:00,La Liga,Matchweek 4,Sat,Home,W,3,2,Levante,2.9,1.2,65,60401.0,Sergio Ramos,4-1-4-1,5-3-2,Ricardo de Burgos,Match Report,
9/18/19,21:00,Champions Lg,Group stage,Wed,Away,L,0,3,fr Paris S-G,0.6,1.7,48,46361.0,Karim Benzema,4-3-3,4-3-3,Anthony Taylor,Match Report,
9/22/19,21:00,La Liga,Matchweek 5,Sun,Away,W,1,0,Sevilla,1.2,0.5,45,42354.0,Sergio Ramos,4-2-3-1,4-3-3,Juan Martínez,Match Report,
9/25/19,21:00,La Liga,Matchweek 6,Wed,Home,W,2,0,Osasuna,1.6,0.2,55,57520.0,Sergio Ramos,4-1-4-1,4-4-2,Antonio Matéu Lahoz,Match Report,
9/28/19,21:00,La Liga,Matchweek 7,Sat,Away,D,0,0,Atlético Madrid,0.4,0.9,55,68032.0,Sergio Ramos,4-1-4-1,4-4-2,José González,Match Report,
10/1/19,18:55,Champions Lg,Group stage,Tue,Home,D,2,2,be Club Brugge,2.3,1.4,73,65112.0,Sergio Ramos,4-3-3,3-1-4-2,Georgi Kabakov,Match Report,
10/5/19,16:00,La Liga,Matchweek 8,Sat,Home,W,4,2,Granada,2.6,1.6,61,70315.0,Sergio Ramos,4-3-3,4-1-4-1,Santiago Jaime,Match Report,
10/19/19,21:00,La Liga,Matchweek 9,Sat,Away,L,0,1,Mallorca,1,0.2,63,20275.0,Sergio Ramos,4-4-2,4-3-3,Alberola Rojas,Match Report,
10/22/19,22:00,Champions Lg,Group stage,Tue,Away,W,1,0,tr Galatasaray,2.4,1.2,44,48886.0,Sergio Ramos,4-3-3,3-4-1-2,Daniele Orsato,Match Report,
10/30/19,21:15,La Liga,Matchweek 11,Wed,Home,W,5,0,Leganés,4.8,0.3,61,53870.0,Sergio Ramos,4-3-3,4-2-3-1,César Soto,Match Report,
11/2/19,21:00,La Liga,Matchweek 12,Sat,Home,D,0,0,Betis,2.8,0.5,63,70375.0,Sergio Ramos,4-3-3,5-3-2,José Sánchez,Match Report,
11/6/19,21:00,Champions Lg,Group stage,Wed,Home,W,6,0,tr Galatasaray,4.2,0.6,69,65492.0,Sergio Ramos,4-3-3,4-3-3,Felix Zwayer,Match Report,
11/9/19,18:30,La Liga,Matchweek 13,Sat,Away,W,4,0,Eibar,2.9,1,58,7045.0,Sergio Ramos,4-3-3,4-4-2,Adrián Cordero,Match Report,
11/23/19,21:00,La Liga,Matchweek 14,Sat,Home,W,3,1,Real Sociedad,1.4,1.6,54,69305.0,Sergio Ramos,4-3-3,4-2-3-1,Jesús Gil,Match Report,
11/26/19,21:00,Champions Lg,Group stage,Tue,Home,D,2,2,fr Paris S-G,3.9,2.4,53,75534.0,Sergio Ramos,4-3-1-2,4-3-3,Artur Soares Dias,Match Report,
11/30/19,13:00,La Liga,Matchweek 15,Sat,Away,W,2,1,Alavés,1.8,1.3,64,19357.0,Sergio Ramos,4-3-3,4-4-2,Guillermo Cuadra,Match Report,
12/7/19,13:00,La Liga,Matchweek 16,Sat,Home,W,2,0,Espanyol,2.4,0.5,60,64125.0,Sergio Ramos,4-3-3,3-1-4-2,Santiago Jaime,Match Report,
12/11/19,21:00,Champions Lg,Group stage,Wed,Away,W,3,1,be Club Brugge,1.2,1,57,27308.0,Raphaël Varane,4-2-3-1,3-1-4-2,Tobias Stieler,Match Report,
12/15/19,21:00,La Liga,Matchweek 17,Sun,Away,D,1,1,Valencia,1.7,2.3,64,44230.0,Sergio Ramos,4-3-3,4-4-2,José Sánchez,Match Report,
12/18/19,20:00,La Liga,Matchweek 10,Wed,Away,D,0,0,Barcelona,0.8,0.9,48,93426.0,Sergio Ramos,4-1-2-1-2,4-3-3,Alejandro Hernández,Match Report,
12/22/19,21:00,La Liga,Matchweek 18,Sun,Home,D,0,0,Athletic Club,2.5,0.4,69,71306.0,Sergio Ramos,4-3-3,5-3-2,Adrián Cordero,Match Report,
1/4/20,16:00,La Liga,Matchweek 19,Sat,Away,W,3,0,Getafe,1.8,1.3,55,15426.0,Karim Benzema,4-3-3,4-4-2,José Luis Munuera,Match Report,
1/18/20,16:00,La Liga,Matchweek 20,Sat,Home,W,2,1,Sevilla,1.3,0.4,52,72512.0,Marcelo,4-3-3,4-3-3,Juan Martínez,Match Report,
1/26/20,21:00,La Liga,Matchweek 21,Sun,Away,W,1,0,Valladolid,0.6,0.3,61,23404.0,Sergio Ramos,4-3-3,4-3-1-2,Ricardo de Burgos,Match Report,
2/1/20,16:00,La Liga,Matchweek 22,Sat,Home,W,1,0,Atlético Madrid,1.1,0.4,64,77223.0,Sergio Ramos,4-2-3-1,4-4-2,Javier Estrada,Match Report,
2/9/20,16:00,La Liga,Matchweek 23,Sun,Away,W,4,1,Osasuna,2.6,0.9,55,17000.0,Sergio Ramos,4-3-3,4-4-2,Jesús Gil,Match Report,
2/16/20,21:00,La Liga,Matchweek 24,Sun,Home,D,2,2,Celta Vigo,2,1,66,62477.0,Sergio Ramos,4-3-3,3-5-2,Alberola Rojas,Match Report,
2/22/20,21:00,La Liga,Matchweek 25,Sat,Away,L,0,1,Levante,1.9,0.7,63,23566.0,Sergio Ramos,4-3-3,4-4-2,Alejandro Hernández,Match Report,
2/26/20,21:00,Champions Lg,Round of 16,Wed,Home,L,1,2,eng Manchester City,1.2,3.2,49,75615.0,Sergio Ramos,4-3-3,4-4-1-1,Daniele Orsato,Match Report,Leg 1 of 2
3/1/20,21:00,La Liga,Matchweek 26,Sun,Home,W,2,0,Barcelona,1.1,1.5,44,78357.0,Sergio Ramos,4-1-4-1,4-4-2,Antonio Matéu Lahoz,Match Report,
3/8/20,21:00,La Liga,Matchweek 27,Sun,Away,L,1,2,Betis,2.1,1.3,57,51521.0,Sergio Ramos,4-1-4-1,4-4-1-1,José González,Match Report,
6/14/20,19:30,La Liga,Matchweek 28,Sun,Home,W,3,1,Eibar,1,0.5,55,,Sergio Ramos,4-3-3,4-1-4-1,Guillermo Cuadra,Match Report,
6/18/20,22:00,La Liga,Matchweek 29,Thu,Home,W,3,0,Valencia,1.9,0.2,63,,Sergio Ramos,4-3-3,4-4-2,José Sánchez,Match Report,
6/21/20,22:00,La Liga,Matchweek 30,Sun,Away,W,2,1,Real Sociedad,1.3,0.4,49,,Sergio Ramos,4-3-3,4-2-3-1,Javier Estrada,Match Report,
6/24/20,22:00,La Liga,Matchweek 31,Wed,Home,W,2,0,Mallorca,1.3,0.6,55,,Sergio Ramos,4-2-3-1,3-5-2,Mario Melero,Match Report,
6/28/20,22:00,La Liga,Matchweek 32,Sun,Away,W,1,0,Espanyol,2.1,0.8,68,,Sergio Ramos,4-3-3,4-4-1-1,Antonio Matéu Lahoz,Match Report,
7/2/20,22:00,La Liga,Matchweek 33,Thu,Home,W,1,0,Getafe,1.8,0.5,67,,Sergio Ramos,4-3-3,4-4-1-1,Juan Martínez,Match Report,
7/5/20,14:00,La Liga,Matchweek 34,Sun,Away,W,1,0,Athletic Club,2.5,0.3,56,,Sergio Ramos,4-3-3,4-2-3-1,José González,Match Report,
7/10/20,22:00,La Liga,Matchweek 35,Fri,Home,W,2,0,Alavés,2.2,1.2,70,,Karim Benzema,4-3-3,4-4-2,Jesús Gil,Match Report,
7/13/20,22:00,La Liga,Matchweek 36,Mon,Away,W,2,1,Granada,0.4,0.9,62,,Sergio Ramos,4-3-2-1,3-4-3,Santiago Jaime,Match Report,
7/16/20,21:00,La Liga,Matchweek 37,Thu,Home,W,2,1,Villarreal,1.6,1.1,57,,Sergio Ramos,4-3-3,4-2-3-1,Alejandro Hernández,Match Report,
7/19/20,21:00,La Liga,Matchweek 38,Sun,Away,D,2,2,Leganés,0.8,1.4,64,,Sergio Ramos,4-3-3,5-4-1,Guillermo Cuadra,Match Report,
8/7/20,20:00,Champions Lg,Round of 16,Fri,Away,L,1,2,eng Manchester City,0.8,2.1,45,,Karim Benzema,4-3-3,4-3-3,Felix Brych,Match Report,Leg 2 of 2; Manchester City won
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
